"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/03/2003","AQS","200910010","1","0.054","ppm","50","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/04/2003","AQS","200910010","1","0.074","ppm","112","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/05/2003","AQS","200910010","1","0.065","ppm","84","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/06/2003","AQS","200910010","1","0.059","ppm","64","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/07/2003","AQS","200910010","1","0.048","ppm","44","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/08/2003","AQS","200910010","1","0.048","ppm","44","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/09/2003","AQS","200910010","1","0.063","ppm","77","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/10/2003","AQS","200910010","1","0.061","ppm","71","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/11/2003","AQS","200910010","1","0.048","ppm","44","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/12/2003","AQS","200910010","1","0.048","ppm","44","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/13/2003","AQS","200910010","1","0.068","ppm","93","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/14/2003","AQS","200910010","1","0.072","ppm","105","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/15/2003","AQS","200910010","1","0.074","ppm","112","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/16/2003","AQS","200910010","1","0.075","ppm","115","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/17/2003","AQS","200910010","1","0.075","ppm","115","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/18/2003","AQS","200910010","1","0.092","ppm","166","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/19/2003","AQS","200910010","1","0.051","ppm","47","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/20/2003","AQS","200910010","1","0.063","ppm","77","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/21/2003","AQS","200910010","1","0.063","ppm","77","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/22/2003","AQS","200910010","1","0.055","ppm","51","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/23/2003","AQS","200910010","1","0.049","ppm","45","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/24/2003","AQS","200910010","1","0.043","ppm","40","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/25/2003","AQS","200910010","1","0.037","ppm","34","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/26/2003","AQS","200910010","1","0.05","ppm","46","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/27/2003","AQS","200910010","1","0.06","ppm","67","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/28/2003","AQS","200910010","1","0.06","ppm","67","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/29/2003","AQS","200910010","1","0.068","ppm","93","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"06/30/2003","AQS","200910010","1","0.055","ppm","51","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"07/01/2003","AQS","200910010","1","0.057","ppm","58","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"07/02/2003","AQS","200910010","1","0.06","ppm","67","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"07/03/2003","AQS","200910010","1","0.066","ppm","87","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"07/04/2003","AQS","200910010","1","0.067","ppm","90","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"07/05/2003","AQS","200910010","1","0.059","ppm","64","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"07/06/2003","AQS","200910010","1","0.042","ppm","39","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"07/07/2003","AQS","200910010","1","0.044","ppm","41","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"07/08/2003","AQS","200910010","1","0.045","ppm","42","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"07/09/2003","AQS","200910010","1","0.054","ppm","50","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"07/10/2003","AQS","200910010","1","0.058","ppm","61","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"07/11/2003","AQS","200910010","1","0.074","ppm","112","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"07/12/2003","AQS","200910010","1","0.074","ppm","112","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
"07/13/2003","AQS","200910010","1","0.062","ppm","74","HERITAGE PARK","17","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","091","Johnson","38.838575","-94.746424"
